Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2023-11-30T11:11:59,M/s   SHREE MAHAVIR METALCRAFT PRIVATE LIMITED,SHREE MAHAVIR METALCRAFT PRIVATE LIMITED,544848402,2023113006544848402,Brand Owner,In Progress
2023-11-30T12:47:25,M/s   MOHIT BAKERS PRIVATE LIMITED,MOHIT BAKERS PRIVATE LIMITED,544848458,2023113006544848458,Brand Owner,In Progress
2023-12-03T10:16:20,M/s   MISTAIR HEALTH AND HYGIENE PRIVATE LIMITED,MISTAIR HEALTH AND HYGIENE PRIVATE LIMITED,544848868,2023120306544848868,Brand Owner,In Progress
2023-12-04T09:48:01,M/s   YVES SAINT LAURENT INDIA PRIVATE LIMITED,YVES SAINT LAURENT INDIA PRIVATE LIMITED,544848884,2023120406544848884,Brand Owner,In Progress
2023-12-04T17:29:20,M/s   PARISONS FOODS PRIVATE LIMITED,PARISONS FOODS PRIVATE LIMITED,544850077,2023120406544850077,Brand Owner,In Progress
2023-12-04T17:38:13,M/s   KHEMKA FLOUR MILL PVT LTD,KHEMKA FLOUR MILLS PRIVATE LIMITED,544861477,2023120406544861477,Brand Owner,In Progress
2023-12-05T12:59:31,M/s   REGAL HEALTHCARE LIMITED,REGAL HEALTHCARE LIMITED,544849144,2023120506544849144,Brand Owner,In Progress
2023-12-06T09:54:00,"M/s   RAPTAKOS, BRETT AND COMPANY LIMITED",RAPTAKOS BRETT AND COMPANY LIMITED,544849118,2023120606544849118,Brand Owner,In Progress
2023-12-15T12:37:25,M/s   ASSOCIATED ALCOHOLS AND BREWERIES LIMITED,ASSOCIATED ALCOHOLS & BREWERIES LTD.,544849750,2023121506544849750,Brand Owner,In Progress
2023-12-15T14:27:48,M/s   ORIENT BEVERAGES LIMITED,ORIENT BEVERAGES LTD,544849762,2023121506544849762,Brand Owner,In Progress
2023-12-18T10:36:30,M/s   ESKAY IODINE PRIVATE LIMITED,ESKAY IODINE PRIVATE LIMITED,544849877,2023121806544849877,Brand Owner,In Progress
2023-12-19T12:27:25,M/s   RELIANCE POLYESTER LIMITED,RELIANCE POLYESTER LIMITED,544849982,2023121906544849982,Brand Owner,In Progress
2023-12-23T16:12:31,M/s   VVD AND SONS PRIVATE LIMITED,VVD AND SONS PRIVATE LIMITED,544850341,2023122306544850341,Brand Owner,In Progress
2023-12-27T10:59:59,M/s   VR INDUSTRIES PVT.LTD,VR INDUSTRIES PVT.LTD,544851287,2023122706544851287,Brand Owner,In Progress
2023-12-28T17:08:58,M/s   JK TALABOT LIMITED,JK TALABOT LIMITED,544850660,2023122806544850660,Brand Owner,In Progress
2024-01-02T17:56:03,M/s   PURE & SURE,Pure & Sure,544850894,2024010206544850894,Brand Owner,In Progress
2024-01-05T15:20:11,M/s   SHREE MAHUVA PRADESH SAHAKARI KHAND UDYOG MANDLI LIMITED,SHREE MAHUVA PRADESH SAHAKARI KHAND UDYOG MANDLI LIMITED,544851100,2024010506544851100,Brand Owner,In Progress
